phase,variant,checkpoint_name,decode_mode,metric_name,case_metric_rows,case_count,dice_mean,hd95_mean,hd95_worst,remote_fp_mean,status
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_14994,pathology_aware,myops_edema,44,44,0.6913217126133757,50.551748119978264,186.0772895933913,33.63636363636363,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_15000,argmax,myops_scar,44,44,0.23811591472109336,104.65403382069078,220.90456038196885,15.909090909090908,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_15000,argmax,myops_edema,44,44,0.6892076424219092,50.16655641311438,184.57710115106158,35.29545454545455,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_15000,pathology_aware,myops_scar,44,44,0.2598268290107793,103.36461327532817,224.01088139647896,17.0,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_15000,pathology_aware,myops_edema,44,44,0.6943063078748803,50.13150276245078,184.28683361282933,36.79545454545455,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_1666,argmax,myops_scar,44,44,0.15621305513167444,112.07534112945456,192.6159601024914,13.181818181818182,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_1666,argmax,myops_edema,44,44,0.6545335198202756,62.01712336572045,267.1014376803512,25.363636363636363,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_1666,pathology_aware,myops_scar,44,44,0.1884201966651121,111.77374522714217,192.55028541746887,13.068181818181818,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_1666,pathology_aware,myops_edema,44,44,0.6657224559923023,61.90520939073785,267.0345147441975,25.318181818181817,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_16660,argmax,myops_scar,44,44,0.3863206830742309,63.33258174747552,204.02971265862593,12.295454545454545,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_16660,argmax,myops_edema,44,44,0.6886742978166006,59.766255183412596,264.1023921027744,79.54545454545455,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_16660,pathology_aware,myops_scar,44,44,0.4046248011259417,68.09539837011116,203.79856998491005,13.522727272727273,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_16660,pathology_aware,myops_edema,44,44,0.6923361490849858,59.88726797232402,263.626540834259,85.04545454545455,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_18326,argmax,myops_scar,44,44,0.393914189276807,78.38575890902271,208.2449010617802,81.95454545454545,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_18326,argmax,myops_edema,44,44,0.6851517904581826,58.36455835193969,224.00889275961472,99.25,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_18326,pathology_aware,myops_scar,44,44,0.4009968325764144,78.60305417728411,208.2195399035319,81.56818181818181,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_18326,pathology_aware,myops_edema,44,44,0.6850654273239782,58.58000174123235,223.92974439256344,102.11363636363636,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_19992,argmax,myops_scar,44,44,0.36696144967283595,97.96694421303003,219.2870538670686,78.38636363636364,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_19992,argmax,myops_edema,44,44,0.6981827303050177,50.715022026778044,184.54090968375664,32.56818181818182,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_19992,pathology_aware,myops_scar,44,44,0.3707749311893204,98.47721777962691,218.95417722189868,80.43181818181819,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_19992,pathology_aware,myops_edema,44,44,0.7002260710474327,50.87519563444851,184.45159463550263,34.18181818181818,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_21658,argmax,myops_scar,44,44,0.41470530402668343,75.67084465593162,220.19459315103245,13.5,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_21658,argmax,myops_edema,44,44,0.6819268209310049,57.09470289854967,196.56710980779118,59.38636363636363,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_21658,pathology_aware,myops_scar,44,44,0.4166889445052607,77.21440807680952,221.72941969012163,20.40909090909091,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_21658,pathology_aware,myops_edema,44,44,0.6832308074867021,57.15653978518085,196.56352683038784,60.72727272727273,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_22500,argmax,myops_scar,44,44,0.42221949411120546,75.82383940024351,244.0002444472978,43.22727272727273,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_22500,argmax,myops_edema,44,44,0.6864576447121741,58.65974658562491,224.44661844661098,57.04545454545455,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_22500,pathology_aware,myops_scar,44,44,0.42847031426522014,79.32106265363134,243.9818476712923,43.59090909090909,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_22500,pathology_aware,myops_edema,44,44,0.6877128162030302,58.64428311192567,224.03914412045836,57.81818181818182,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_23324,argmax,myops_scar,44,44,0.3845065740426341,86.18710473279432,242.7810263595116,47.25,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_23324,argmax,myops_edema,44,44,0.6839673294217227,64.6899882419637,260.886820004322,120.68181818181819,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_23324,pathology_aware,myops_scar,44,44,0.3912591841170899,86.50006667371174,242.76341467762393,47.93181818181818,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_23324,pathology_aware,myops_edema,44,44,0.6851460801284813,64.69445543290229,260.8633656134408,121.63636363636364,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_24990,argmax,myops_scar,44,44,0.41361694826007744,86.19309454604716,238.3075549890575,87.86363636363636,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_24990,argmax,myops_edema,44,44,0.6818041820498595,64.41182280120117,262.2196512524002,45.43181818181818,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_24990,pathology_aware,myops_scar,44,44,0.41948030227080474,87.76038426892507,238.15584608522454,88.4090909090909,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_24990,pathology_aware,myops_edema,44,44,0.6830306328566239,64.40092687327456,262.18032194688664,45.95454545454545,RUNTIME_METRICS
