feature_source,task_id,probe_model,train_rows,eval_rows,train_cases,eval_cases,status,AUROC,AUPRC,balanced_accuracy,sensitivity,specificity,ECE,fold_id,pathology,evidence_source
CENTER_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4610,1137,64,16,PASS,0.5101875758235604,0.4686895981491971,0.5101875758235606,0.4629981024667932,0.5573770491803278,0.0366346707730989,2,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4594,1153,64,16,PASS,0.4972687083662981,0.46872640381943864,0.4972687083662981,0.42988929889298894,0.5646481178396072,0.02960126737005553,3,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4597,1150,64,16,PASS,0.5151667799572732,0.4791350222605487,0.5151667799572732,0.4612546125461255,0.569078947368421,0.028703707929690514,4,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4586,1140,64,16,PASS,0.5146104498090258,0.47594683512194824,0.5146104498090258,0.4681647940074906,0.5610561056105611,0.03170948296935494,0,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4596,1130,64,16,PASS,0.5027271811150581,0.46508224514281526,0.5027271811150581,0.44274809160305345,0.5627062706270627,0.03611819497553115,1,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4596,1130,64,16,PASS,0.5133039092055486,0.46699546794584845,0.5133039092055485,0.46923076923076923,0.5573770491803278,0.04000541743692604,2,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4570,1156,64,16,PASS,0.5116818570849412,0.47743623987327577,0.5116818570849413,0.45871559633027525,0.5646481178396072,0.028555856790405343,3,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4556,1170,64,16,PASS,0.5034006836486233,0.4820534135943108,0.5034006836486233,0.4377224199288256,0.569078947368421,0.01933850910416096,4,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2898,644,64,16,PASS,0.28052805280528054,0.059006211180124224,0.28052805280528054,0.0,0.5610561056105611,0.43952954184765924,0,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2826,716,64,16,PASS,0.3731923192319232,0.13416949382089047,0.3731923192319232,0.3090909090909091,0.4372937293729373,0.34063103531731964,1,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2898,644,64,16,PASS,0.2786885245901639,0.052795031055900624,0.2786885245901639,0.0,0.5573770491803278,0.44615159471133087,2,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2754,788,64,16,PASS,0.41618389780154486,0.20144302873522418,0.41618389780154486,0.3977272727272727,0.434640522875817,0.2688996662259387,3,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2792,750,64,16,PASS,0.41130003706449225,0.17196004663326717,0.4113000370644922,0.2535211267605634,0.569078947368421,0.3053730869782266,4,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4765,1193,64,16,PASS,0.4968823969279381,0.4904897996799792,0.4968823969279381,0.43270868824531517,0.5610561056105611,0.007910140720063852,0,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4789,1169,64,16,PASS,0.5,0.4816082121471343,0.5,1.0,0.0,0.018391787852865715,1,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4750,1208,64,16,PASS,0.49775206974066555,0.4939150518658604,0.49775206974066555,0.43812709030100333,0.5573770491803278,0.004969586482043875,2,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4769,1189,64,16,PASS,0.5010506224442405,0.485807908387505,0.5010506224442406,0.43674176776429807,0.565359477124183,0.014675092410346757,3,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4759,1199,64,16,PASS,0.504505632736664,0.495186762988991,0.5045056327366639,0.43993231810490696,0.569078947368421,0.007054933047810796,4,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4765,1193,64,16,PASS,0.5,0.4920368818105616,0.5,1.0,0.0,0.0079631181894384,0,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4789,1169,64,16,PASS,0.5,0.4816082121471343,0.5,1.0,0.0,0.018391787852865715,1,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4750,1208,64,16,PASS,0.5,0.49503311258278143,0.5,1.0,0.0,0.004966887417218568,2,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4769,1189,64,16,PASS,0.5,0.4852817493692178,0.5,1.0,0.0,0.014718250630782193,3,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4759,1199,64,16,PASS,0.5,0.49291075896580483,0.5,1.0,0.0,0.007089241034195171,4,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4564,1126,64,16,PASS,0.5,0.46181172291296624,0.5,1.0,0.0,0.03818827708703376,0,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4581,1109,64,16,PASS,0.5,0.45356176735798015,0.5,1.0,0.0,0.04643823264201985,1,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4523,1167,64,16,PASS,0.5,0.4772922022279349,0.5,1.0,0.0,0.022707797772065108,2,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4544,1146,64,16,PASS,0.5,0.4668411867364747,0.5,1.0,0.0,0.03315881326352532,3,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4548,1142,64,16,PASS,0.5,0.46760070052539404,0.5,1.0,0.0,0.03239929947460596,4,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4336,1120,64,16,PASS,0.5,0.4589285714285714,0.5,1.0,0.0,0.04107142857142859,0,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4392,1064,64,16,PASS,0.5,0.43045112781954886,0.5,1.0,0.0,0.06954887218045114,1,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4358,1098,64,16,PASS,0.5,0.4444444444444444,0.5,1.0,0.0,0.05555555555555558,2,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4364,1092,64,16,PASS,0.5,0.44047619047619047,0.5,1.0,0.0,0.059523809523809534,3,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4374,1082,64,16,PASS,0.5,0.43807763401109057,0.5,1.0,0.0,0.061922365988909434,4,scar,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4800,1191,64,16,PASS,0.5,0.491183879093199,0.5,1.0,0.0,0.008816120906801006,0,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4794,1197,64,16,PASS,0.5,0.49373433583959897,0.5,1.0,0.0,0.00626566416040103,1,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4785,1206,64,16,PASS,0.5,0.494195688225539,0.5,1.0,0.0,0.005804311774461002,2,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4787,1204,64,16,PASS,0.5,0.49169435215946844,0.5,1.0,0.0,0.00830564784053156,3,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4798,1193,64,16,PASS,0.5,0.490360435875943,0.5,1.0,0.0,0.009639564124056976,4,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4580,1167,64,16,PASS,0.5,0.480719794344473,0.5,1.0,0.0,0.019280205655527016,0,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4607,1140,64,16,PASS,0.5,0.46842105263157896,0.5,1.0,0.0,0.03157894736842104,1,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4610,1137,64,16,PASS,0.5,0.4635004397537379,0.5,1.0,0.0,0.03649956024626211,2,pure_edema,v4_patient_level_refold
MODALITY_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4594,1153,64,16,PASS,0.5,0.47007805724197743,0.5,1.0,0.0,0.02992194275802257,3,pure_edema,v4_patient_level_refold
