case_id,center,metric_name,model_id,dice,pred_voxels,gt_voxels,pred_components,gt_components,empty_gt,empty_pred,model_disagreement_dice
Case1003,CenterA,scar,mosaic_clean_oof,0.018475750577367205,1195,1403,1,1,0,0,0.9881598421312284
Case1003,CenterA,lesion_union,nnunet_oof,0.4626398210290828,832,1403,5,1,0,0,0.9881598421312284
Case1003,CenterA,lesion_union,mosaic_clean_oof,0.018475750577367205,1195,1403,1,1,0,0,0.9881598421312284
Case1004,CenterA,scar,nnunet_oof,0.5376487386958592,6884,14126,12,2,0,0,0.9497597962609249
Case1004,CenterA,scar,mosaic_clean_oof,0.07455442717892247,10393,14126,1,2,0,0,0.9497597962609249
Case1004,CenterA,lesion_union,nnunet_oof,0.5376487386958592,6884,14126,12,2,0,0,0.9497597962609249
Case1004,CenterA,lesion_union,mosaic_clean_oof,0.07455442717892247,10393,14126,1,2,0,0,0.9497597962609249
Case1005,CenterA,scar,nnunet_oof,0.6970069700697007,3936,3381,1,1,0,0,0.9517904969745065
Case1005,CenterA,scar,mosaic_clean_oof,0.03905101826579887,6145,3381,1,1,0,0,0.9517904969745065
Case1005,CenterA,lesion_union,nnunet_oof,0.6970069700697007,3936,3381,1,1,0,0,0.9517904969745065
Case1005,CenterA,lesion_union,mosaic_clean_oof,0.03905101826579887,6145,3381,1,1,0,0,0.9517904969745065
Case1006,CenterA,scar,nnunet_oof,0.33782752480284917,3516,4346,19,2,0,0,0.8364023550043843
Case1006,CenterA,scar,mosaic_clean_oof,0.10461817769204584,4467,4346,1,2,0,0,0.8364023550043843
Case1006,CenterA,lesion_union,nnunet_oof,0.33782752480284917,3516,4346,19,2,0,0,0.8364023550043843
Case1006,CenterA,lesion_union,mosaic_clean_oof,0.10461817769204584,4467,4346,1,2,0,0,0.8364023550043843
Case1036,CenterA,scar,nnunet_oof,0.7254532269760696,3603,3292,2,2,0,0,0.7145652173913044
Case1036,CenterA,scar,mosaic_clean_oof,0.23939700753740578,5597,3292,1,2,0,0,0.7145652173913044
Case1036,CenterA,lesion_union,nnunet_oof,0.7254532269760696,3603,3292,2,2,0,0,0.7145652173913044
Case1036,CenterA,lesion_union,mosaic_clean_oof,0.23939700753740578,5597,3292,1,2,0,0,0.7145652173913044
Case1038,CenterA,scar,nnunet_oof,0.3134103465595178,831,1160,10,1,0,0,0.9679266895761741
Case1038,CenterA,scar,mosaic_clean_oof,0.0,915,1160,1,1,0,0,0.9679266895761741
Case1038,CenterA,lesion_union,nnunet_oof,0.3134103465595178,831,1160,10,1,0,0,0.9679266895761741
Case1038,CenterA,lesion_union,mosaic_clean_oof,0.0,915,1160,1,1,0,0,0.9679266895761741
Case1043,CenterA,scar,nnunet_oof,0.46825396825396826,918,1350,7,8,0,0,0.8003790271636134
Case1043,CenterA,scar,mosaic_clean_oof,0.16774193548387098,665,1350,1,8,0,0,0.8003790271636134
Case1043,CenterA,lesion_union,nnunet_oof,0.46825396825396826,918,1350,7,8,0,0,0.8003790271636134
Case1043,CenterA,lesion_union,mosaic_clean_oof,0.16774193548387098,665,1350,1,8,0,0,0.8003790271636134
Case1054,CenterA,scar,nnunet_oof,0.6890792291220557,2669,2001,2,4,0,0,0.989341585009455
Case1054,CenterA,scar,mosaic_clean_oof,0.02136337152845213,3148,2001,1,4,0,0,0.989341585009455
Case1054,CenterA,lesion_union,nnunet_oof,0.6890792291220557,2669,2001,2,4,0,0,0.989341585009455
Case1054,CenterA,lesion_union,mosaic_clean_oof,0.02136337152845213,3148,2001,1,4,0,0,0.989341585009455
Case1056,CenterA,scar,nnunet_oof,0.7060299083453931,5312,5053,5,6,0,0,0.9457266750594489
Case1056,CenterA,scar,mosaic_clean_oof,0.04231070589073296,8986,5053,1,6,0,0,0.9457266750594489
