checkpoint,class_id,component_count_mean,decode_mode,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,pred_gt_volume_ratio_mean,remote_fp_mean,variant
best,4,26.214285714285715,threshold_sweep_mixed_t0.50,0.14285714285714285,0.14285714285714285,no_T2_empty_GT,,,myops_edema,28,,26.214285714285715,proposal_pos_neg_basic
best,5,106.75,threshold_sweep_mixed_t0.50,0.10473423392763258,0.0,all_cases,,,myops_scar,44,5.359438298235854,84.3409090909091,proposal_pos_neg_basic
best,5,108.3953488372093,threshold_sweep_mixed_t0.50,0.10716991378641473,0.0,gt_positive_only,,,myops_scar,43,5.359438298235854,85.46511627906976,proposal_pos_neg_basic
best,5,33.0625,threshold_sweep_mixed_t0.50,0.15527252130219027,0.0,t2_present,,,myops_scar,16,0.9191734612770535,25.375,proposal_pos_neg_basic
best,5,33.0625,threshold_sweep_mixed_t0.50,0.15527252130219027,0.0,complete_modality,,,myops_scar,16,0.9191734612770535,25.375,proposal_pos_neg_basic
best,5,22.714285714285715,threshold_sweep_mixed_t0.50,0.19712909742479173,0.0,CenterB,,,myops_scar,7,1.2038306911305807,13.571428571428571,proposal_pos_neg_basic
best,5,41.111111111111114,threshold_sweep_mixed_t0.50,0.1227174065401669,0.0,CenterC,,,myops_scar,9,0.6977733936131988,34.55555555555556,proposal_pos_neg_basic
best,5,161.41666666666666,threshold_sweep_mixed_t0.50,0.07275264952418513,0.0,LGE-only,,,myops_scar,24,8.878643803187806,129.33333333333334,proposal_pos_neg_basic
best,5,36.0,threshold_sweep_mixed_t0.50,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,36.0,proposal_pos_neg_basic
best,4,38.38636363636363,threshold_sweep_mixed_t0.60,0.17826739987092904,0.11363636363636363,all_cases,,,myops_edema,44,1.9554354091212547,32.45454545454545,proposal_pos_neg_basic
best,4,67.1875,threshold_sweep_mixed_t0.60,0.17773534964505486,0.0,gt_positive_only,,,myops_edema,16,1.9554354091212547,50.875,proposal_pos_neg_basic
best,4,67.1875,threshold_sweep_mixed_t0.60,0.17773534964505486,0.0,t2_present,,,myops_edema,16,1.9554354091212547,50.875,proposal_pos_neg_basic
best,4,67.1875,threshold_sweep_mixed_t0.60,0.17773534964505486,0.0,complete_modality,,,myops_edema,16,1.9554354091212547,50.875,proposal_pos_neg_basic
best,4,44.42857142857143,threshold_sweep_mixed_t0.60,0.33236545815209506,0.0,CenterB,,,myops_edema,7,1.7125502731982074,28.285714285714285,proposal_pos_neg_basic
best,4,84.88888888888889,threshold_sweep_mixed_t0.60,0.05746748747291245,0.0,CenterC,,,myops_edema,9,2.144346070394736,68.44444444444444,proposal_pos_neg_basic
best,4,23.041666666666668,threshold_sweep_mixed_t0.60,0.20833333333333334,0.20833333333333334,LGE-only,,,myops_edema,24,,23.041666666666668,proposal_pos_neg_basic
best,4,21.928571428571427,threshold_sweep_mixed_t0.60,0.17857142857142858,0.17857142857142858,no_T2_empty_GT,,,myops_edema,28,,21.928571428571427,proposal_pos_neg_basic
best,5,102.11363636363636,threshold_sweep_mixed_t0.60,0.10436410679743496,0.0,all_cases,,,myops_scar,44,4.768687814058117,80.45454545454545,proposal_pos_neg_basic
best,5,103.76744186046511,threshold_sweep_mixed_t0.60,0.10679117904853809,0.0,gt_positive_only,,,myops_scar,43,4.768687814058117,81.6046511627907,proposal_pos_neg_basic
best,5,31.625,threshold_sweep_mixed_t0.60,0.1538844549186415,0.0,t2_present,,,myops_scar,16,0.8720069365214627,23.9375,proposal_pos_neg_basic
