phase,checkpoint_name,checkpoint_sha256,all_44_fresh,hashes_match,calibration_frozen,finite,no_t2_exact_zero,eligible,case_count,scar_positive_nonempty_rate,t2_edema_positive_nonempty_rate,edema_positive_nonempty_rate,scar_median_volume_ratio,edema_median_volume_ratio,subgroups_complete,validators_pass,exclusion_reason,exclusion_reasons
d3_full_propref,checkpoint_final,c53f601e190b7d914cfa3b45a76f149c6899315474f46b7d5c33bc1d3602f9f5,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_20000,c5ade8e008afbcd4da960b2dc67ce7ea4876ea862ab21672ceca5ecad9eca7fc,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_1250,c7f45d19bd30ac9ecb3a414d8e63d98c5a2e4cc6a93e214f3465fd1989cbe6e2,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_14315,c98b0af8f3f6ea4315ab63f85c634ba80e726359ef39bce6cf1310b57845f803,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_11662,cc1e2d95c0ba6a32667c959f1f7661b408a46fa9c7463d4bcd020c9940f6671a,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_best,ce60e6b3f0f77efd392d04b917356b12234491f90011c1ddaac8a637e9168fe6,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_final,d1d5e8bf2c96a0cf446b0d56009d76081e9d4cf5ba2d9a4ea3540e077d05e80c,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_4998,d20642fd459ec7e962fd3aad42ce107381a37d48402005362b7369ab7ea18ec8,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_6000,d2b7a0e2d6389ac12898357d4e3ca9e0e7009d7971fa045fb0ed65fc14e27479,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_25000,d2f415fdd1f9b9837ddda545d6c12620137b9c39b4a360a339b362d0699cabcf,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_final,d472cc51c4d928befe907c88b2a047e9cf6424ad2836e6a09be2a3120e3f942c,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_14994,d74be3336e3cd3b519b4217a695b2280b82396d862b408ed375255398ca9e7ac,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_40900,d90f6d498ad9128db70e9024c246038d2d2178d40ad9f6ac52a4f09326dbafb2,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_14000,dfae367b978595fd4a3be182c1c9c8d4795e0f48072690010c139b8a2ebad391,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_4998,dff9004766bbc3b91034f2d297e24818316ff3440ee00d16ca3e860d76a0b95f,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_6664,e3b7d90d3c005a43c34a3f2c1afc5ad46e241e908711982c69bc24cd686c1a01,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_8180,e3f9ff7f52de1947f9320b2557bcf3c4bdd7f164b38950c7d619bb77c5254ea5,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_9000,e83109ebce3166815ee8cc363401bb748f08613ad53bbc822e08eee49cb5ee84,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_6664,ec6ee8cd2d10d4a390ef0b86596a3bdd3bec6d5642a1fc9009e181486a831175,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_5000,eda5efe913f4daae702888d7864ddd20b39f2f45da94704ff297e4d92c7d3a80,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_44990,f08877203233040b158e2c05f86a500178b3ac560f2ee9033285a1238d180cca,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_6250,f27e29719be088b8eb32f98604653f8acfc1c7ecfa2be0a05edef3a065966f3b,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_19992,f31e218edd8d39c2b3382457b63223d98967cd0869019a9fba5335bdc1a32946,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_12000,f465cfb80082887aed137a35bc21ec07d5dd5b7650c07fb23e1d7ad362b49f36,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_16660,f47d9d5dcd4fb5920397b5c04e5ec3b1ec9994759a6ec1a3de81b4c777b0dc5a,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_2000,fb3e40790efaaefddfee6421ab26bab95445b013e657d2670197ec5e43fb1a06,True,true,true,True,True,true,44,0.9767441860465116,1.0,1.0,,,true,true,,
